date,Mkt_RF,SMB,HML
19761029,-0.0242,0.0025,-0.0013
19761130,0.0036,0.0235,0.0153
19761231,0.0565,0.03,0.0223
19770131,-0.0405,0.0478,0.0426
19770228,-0.0195,0.011,0.0048
19770331,-0.0137,0.01,0.0104
19770429,0.0015,-0.0011,0.0345
19770531,-0.0146,0.012,0.0083
19770630,0.0471,0.0213,-0.0065
19770729,-0.0169,0.0213,-0.0061
19770831,-0.0175,0.0151,-0.0279
19770930,-0.0027,0.0144,-0.0051
19771031,-0.0438,0.0126,0.0171
19771130,0.04,0.0369,0.0035
19771230,0.0027,0.0134,-0.0034
19780131,-0.0601,0.0222,0.0329
19780228,-0.0138,0.0357,0.008
19780331,0.0285,0.0344,0.0125
19780428,0.0788,0.0038,-0.0349
19780531,0.0176,0.0459,-0.006
19780630,-0.0169,0.0169,0.0058
19780731,0.0511,0.0027,-0.0111
19780831,0.0375,0.0509,-0.0048
19780929,-0.0143,-0.0041,0.0188
19781031,-0.1191,-0.099,0.0136
19781130,0.0271,0.0302,-0.0221
19781229,0.0088,0.0124,-0.0219
19790131,0.0423,0.0369,0.0225
19790228,-0.0356,0.0046,0.0118
19790330,0.0568,0.0319,-0.0065
19790430,-0.0006,0.0216,0.0108
19790531,-0.0221,0.0049,0.0183
19790629,0.0385,0.0116,0.0144
19790731,0.0082,0.0126,0.0172
19790831,0.0553,0.0208,-0.0152
19790928,-0.0082,-0.0026,-0.0092
19791031,-0.081,-0.0333,-0.0186
19791130,0.0521,0.0274,-0.0328
19791231,0.0179,0.0417,-0.0201
19800131,0.0551,0.0165,0.0182
19800229,-0.0122,-0.0181,0.0061
19800331,-0.129,-0.0664,-0.0106
19800430,0.0397,0.0097,0.0106
19800530,0.0526,0.0216,0.004
19800630,0.0306,0.0167,-0.009
19800731,0.0649,0.0424,-0.0635
19800829,0.018,0.039,-0.0265
19800930,0.0219,0.0086,-0.0474
19801031,0.0106,0.0249,-0.0277
19801128,0.0959,-0.0348,-0.0844
19801231,-0.0452,-0.0028,0.0269
19810130,-0.0504,0.03,0.0682
19810227,0.0056,-0.003,0.0102
19810331,0.0356,0.0358,0.007
19810430,-0.021,0.0443,0.0229
19810529,0.0011,0.0201,-0.0041
19810630,-0.0236,-0.0084,0.0509
19810731,-0.0154,-0.0217,-0.006
19810831,-0.0703,-0.0195,0.0483
19810930,-0.0717,-0.0266,0.0517
19811030,0.0492,0.0216,-0.0419
19811130,0.0336,-0.0096,0.019
19811231,-0.0365,0.0118,0.0075
19820129,-0.0324,-0.0128,0.0313
19820226,-0.0586,0.0045,0.0604
19820331,-0.0187,-0.0018,0.0382
19820430,0.0327,0.0151,-0.028
19820528,-0.0399,0.0046,0.0182
19820630,-0.0309,-0.0039,0.0154
19820730,-0.0319,0.0086,0.002
19820831,0.1114,-0.0411,0.0116
19820930,0.0129,0.0289,0.0034
19821029,0.113,0.0236,-0.0369
19821130,0.0467,0.0479,-0.0192
19821231,0.0055,-0.0018,0.0002
19830131,0.036,0.027,-0.0086
19830228,0.0259,0.0324,0.0068
19830331,0.0282,0.0177,0.0207
19830429,0.0667,0.0052,0.0058
19830531,0.0052,0.0615,-0.0141
19830630,0.0307,0.009,-0.0389
19830729,-0.0407,0.0148,0.0558
19830831,-0.005,-0.0429,0.0554
19830930,0.0092,0.0056,0.0106
19831031,-0.0344,-0.036,0.05
19831130,0.0216,0.0205,-0.0065
19831230,-0.0178,-0.0028,0.0168
19840131,-0.0192,-0.0042,0.076
19840229,-0.0482,-0.0168,0.0331
19840330,0.0063,0.0008,0.0049
19840430,-0.0052,-0.0119,0.0124
19840531,-0.0597,0.0004,0.0023
19840629,0.0182,-0.0028,-0.0263
19840731,-0.0274,-0.0222,0.0039
19840831,0.1028,-0.0022,-0.0183
19840928,-0.008,0.0021,0.0531
19841031,-0.0084,-0.012,0.0048
19841130,-0.0176,-0.0062,0.0404
19841231,0.0184,-0.0058,-0.0014
19850131,0.0799,0.0326,-0.0539
19850228,0.0122,0.0078,-0.0017
19850329,-0.0084,-0.0111,0.0403
19850430,-0.0096,0.0017,0.0371
19850531,0.0509,-0.0227,-0.0087
19850628,0.0127,0.005,0.0046
19850731,-0.0074,0.0285,-0.0167
19850830,-0.0102,-0.0032,0.0229
19850930,-0.0454,-0.0159,0.0129
19851031,0.0402,-0.0156,0.0077
19851129,0.0648,0.0021,-0.0293
19851231,0.0388,-0.0049,-0.0156
19860131,0.0065,0.012,0.0053
19860228,0.0713,-0.0064,-0.0088
19860331,0.0488,-0.0051,-0.005
19860430,-0.0131,0.0283,-0.029
19860530,0.0462,-0.0131,-0.0012
19860630,0.0103,-0.0093,0.0139
19860731,-0.0645,-0.0337,0.0476
19860829,0.0607,-0.0417,0.0352
19860930,-0.086,0.0228,0.032
19861031,0.0466,-0.0257,-0.0144
19861128,0.0117,-0.0198,-0.0009
19861231,-0.0327,0.0008,0.0031
19870130,0.1247,-0.0179,-0.0321
19870227,0.0439,0.0346,-0.0596
19870331,0.0164,0.004,0.0159
19870430,-0.0211,-0.017,-0.0032
19870529,0.0011,-0.0055,0.0016
19870630,0.0394,-0.0217,0.0106
19870731,0.0385,-0.0063,0.0071
19870831,0.0352,-0.0075,-0.0091
